City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
40,solnechnyy,RU,46.18,50.72,136.63,Hotel complex Pastoral
41,saint-joseph,RE,68.0,-21.37,55.62,"""Plantation Bed and Breakfast"
42,mataura,NZ,44.51,-46.19,168.86,Ellie's Villa
43,esperance,AU,55.4,-33.87,121.9,Hospitality Esperance
44,port hedland,AU,84.2,-20.32,118.57,The Esplanade Hotel
45,puerto baquerizo moreno,EC,68.56,-0.9,-89.6,Hotel los Algarrobos
46,kaseda,JP,80.6,31.42,130.32,Sun Stay Kaseda
48,qaanaaq,GL,38.73,77.48,-69.36,Qaanaaq Hotel
49,jamestown,US,70.0,42.1,-79.24,Hampton Inn & Suites Jamestown
50,punta arenas,CL,32.0,-53.15,-70.92,Hotel Dreams Del Estrecho
51,rockport,US,84.2,28.02,-97.05,Holiday Inn Express & Suites Rockport - Bay View
52,abu dhabi,AE,93.2,24.47,54.37,Beach Rotana
53,tasiilaq,GL,48.2,65.61,-37.64,The Red House
54,san cristobal,VE,66.18,7.77,-72.22,Pirineos
55,dakar,SN,78.8,14.69,-17.44,Novotel Dakar
56,yellowknife,CA,77.0,62.46,-114.35,The Explorer Hotel
57,cairns,AU,80.6,-16.92,145.77,Mantra Trilogy Cairns
58,bethel,US,73.4,41.37,-73.41,Courtyard by Marriott Danbury
59,kaspiyskiy,RU,82.9,45.39,47.37,"Gostinitsa ""Gostevoy Dvor"""
60,sitka,US,51.8,57.05,-135.33,Westmark Sitka
61,alangalang,PH,89.11,11.21,124.85,Greb-C Building
63,bluff,NZ,45.52,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
64,teya,RU,66.65,60.38,92.63,
65,abay,KZ,71.6,49.63,72.85,Guest House on Abaya 144
67,yelizovo,RU,71.6,53.19,158.38,Kamchatskiy Stil' Hostel
68,diego de almagro,CL,49.14,-26.37,-70.05,hotel luna del desierto
69,college,US,53.6,64.86,-147.8,Pike's Waterfront Lodge
70,hermanus,ZA,53.01,-34.42,19.23,Misty Waves Boutique Hotel
71,kenitra,MA,64.4,34.26,-6.58,Bienvenue chez vous
72,kuytun,RU,76.86,54.34,101.5,Gostinitsa Tsentral'naya
73,udachnyy,RU,80.6,66.42,112.4,Gostinitsa Vilyuy
74,zabol,AF,82.47,32.25,67.25,
75,georgetown,MY,86.0,5.41,100.34,Cititel Penang
76,saint-augustin,CA,48.78,51.23,-58.65,
77,flinders,AU,60.01,-34.58,150.86,Shellharbour Resort & Conference Centre
78,mehamn,NO,42.8,71.04,27.85,Mehamn Arctic Hotel AS
79,lastoursville,GA,69.93,-0.81,12.73,Auberge Bon Coin 02
