City_Id,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
102,constitucion,99,CL,overcast clouds,77,-35.33,-72.42,50.99,0.0,0.0,8.03
103,kieta,9,PG,light rain,69,-6.22,155.63,84.74,0.3,0.3,3.42
104,tuatapere,0,NZ,clear sky,70,-46.13,167.68,47.3,0.0,0.0,3.11
105,celestun,38,MX,scattered clouds,81,20.87,-90.4,81.5,0.0,0.0,14.09
106,laurel,1,US,clear sky,78,39.1,-76.85,73.99,0.0,0.0,4.99
107,nanortalik,92,GL,overcast clouds,78,60.14,-45.24,44.44,0.0,0.0,0.65
108,dinghai,97,CN,overcast clouds,79,26.28,119.79,86.0,0.0,0.0,15.66
109,caceres,0,ES,clear sky,67,39.52,-6.37,68.0,0.0,0.0,5.55
110,khatanga,92,RU,overcast clouds,46,71.97,102.5,68.5,0.0,0.0,5.99
111,los andes,75,CL,mist,100,-32.83,-70.6,44.6,0.0,0.0,6.93
112,ponta do sol,40,PT,scattered clouds,72,32.67,-17.1,68.0,0.0,0.0,17.22
113,upernavik,82,GL,broken clouds,71,72.79,-56.15,39.67,0.0,0.0,7.45
114,fort nelson,75,CA,broken clouds,55,58.81,-122.7,66.2,0.0,0.0,5.82
115,grajau,5,BR,clear sky,73,-5.82,-46.14,70.66,0.0,0.0,4.05
116,totma,0,RU,clear sky,59,59.97,42.76,53.96,0.0,0.0,2.13
117,padang,75,ID,light rain,66,-0.95,100.35,84.29,0.16,0.16,6.76
118,bathsheba,40,BB,haze,83,13.22,-59.52,82.4,0.0,0.0,23.04
119,barrow,90,US,mist,93,71.29,-156.79,35.6,0.0,0.0,12.75
120,bambous virieux,75,MU,shower rain,88,-20.34,57.76,71.01,0.0,0.0,8.05
121,kiruna,63,SE,broken clouds,59,67.86,20.23,60.8,0.0,0.0,1.48
122,nome,40,US,scattered clouds,55,64.5,-165.41,68.0,0.0,0.0,13.87
123,port hardy,90,CA,light rain,76,50.7,-127.42,55.4,0.0,0.0,4.7
124,saint-philippe,36,RE,scattered clouds,68,-21.36,55.77,68.0,0.0,0.0,5.82
125,barahona,1,DO,clear sky,80,18.21,-71.1,80.71,0.0,0.0,7.74
126,faanui,63,PF,broken clouds,81,-16.48,-151.75,77.4,0.0,0.0,24.07
127,chunhuhub,5,MX,clear sky,99,19.55,-88.68,75.07,0.0,0.0,2.93
128,irituia,100,BR,overcast clouds,98,-1.77,-47.44,73.2,0.0,0.0,2.53
129,virginia beach,20,US,few clouds,88,36.85,-75.98,72.0,0.0,0.0,3.36
130,tilichiki,0,RU,light rain,59,60.47,166.1,66.67,0.17,0.17,10.29
131,severodvinsk,83,RU,broken clouds,66,64.56,39.83,55.4,0.0,0.0,4.47
132,varna,0,BG,clear sky,88,43.22,27.92,62.6,0.0,0.0,4.7
133,skorodnoye,66,RU,broken clouds,72,51.07,37.23,68.0,0.0,0.0,13.42
134,puro,91,PH,overcast clouds,64,12.48,123.38,88.59,0.0,0.0,8.21
135,torbay,40,CA,scattered clouds,65,47.67,-52.73,48.0,0.0,0.0,21.92
136,gizo,7,SB,light rain,72,-8.1,156.84,84.25,0.64,0.64,6.78
